Motif_Identifier	GO_Term_Identifier	GOMo_Score	p-value	q-value
1	GO:0005622	7.140e-07	8.479e-08	3.182e-05
1	GO:0044424	8.374e-07	8.479e-08	3.182e-05
1	GO:0043229	3.751e-06	8.479e-08	3.182e-05
1	GO:0043226	3.799e-06	8.479e-08	3.182e-05
1	GO:0043227	9.529e-06	8.479e-08	3.182e-05
1	GO:0043231	1.123e-05	8.479e-08	3.182e-05
1	GO:0044260	2.544e-05	8.479e-08	3.182e-05
1	GO:0034960	2.736e-05	8.479e-08	3.182e-05
1	GO:0005737	1.091e-04	8.479e-08	3.182e-05
1	GO:0044237	2.867e-04	8.479e-08	3.182e-05
1	GO:0043170	2.890e-04	8.479e-08	3.182e-05
1	GO:0044444	4.006e-04	8.479e-08	3.182e-05
1	GO:0044428	4.341e-04	8.479e-08	3.182e-05
1	GO:0043283	4.400e-04	8.479e-08	3.182e-05
1	GO:0044446	7.796e-04	8.479e-08	3.182e-05
1	GO:0044422	7.972e-04	8.479e-08	3.182e-05
1	GO:0070013	8.177e-04	8.479e-08	3.182e-05
1	GO:0031981	8.295e-04	8.479e-08	3.182e-05
1	GO:0008152	9.783e-04	8.479e-08	3.182e-05
1	GO:0044238	1.296e-03	8.479e-08	3.182e-05
1	GO:0005634	1.422e-03	8.479e-08	3.182e-05
1	GO:0005654	1.745e-03	8.479e-08	3.182e-05
1	GO:0016740	1.870e-03	8.479e-08	3.182e-05
1	GO:0031974	2.012e-03	8.479e-08	3.182e-05
1	GO:0043233	2.115e-03	8.479e-08	3.182e-05
1	GO:0044267	2.402e-03	8.479e-08	3.182e-05
1	GO:0010467	2.463e-03	8.479e-08	3.182e-05
1	GO:0016070	2.521e-03	8.479e-08	3.182e-05
1	GO:0003824	2.738e-03	8.479e-08	3.182e-05
1	GO:0030529	3.166e-03	8.479e-08	3.182e-05
1	GO:0006139	3.176e-03	8.479e-08	3.182e-05
1	GO:0005515	4.550e-03	2.544e-07	9.247e-05
1	GO:0005488	5.529e-03	1.272e-06	4.484e-04
1	GO:0006396	5.593e-03	1.357e-06	4.642e-04
1	GO:0043284	6.096e-03	1.865e-06	6.200e-04
1	GO:0034961	6.371e-03	2.374e-06	7.672e-04
1	GO:0005783	6.445e-03	2.544e-06	7.998e-04
1	GO:0006996	7.122e-03	3.392e-06	1.038e-03
1	GO:0010828	8.107e-03	5.087e-06	1.480e-03
1	GO:0046326	8.107e-03	5.087e-06	1.480e-03
1	GO:0042802	8.403e-03	5.596e-06	1.588e-03
1	GO:0005681	9.117e-03	7.885e-06	2.184e-03
1	GO:0044451	9.569e-03	8.818e-06	2.386e-03
1	GO:0000166	9.878e-03	1.001e-05	2.645e-03
1	GO:0016772	9.937e-03	1.026e-05	2.652e-03
1	GO:0006807	1.133e-02	1.501e-05	3.761e-03
1	GO:0032553	1.142e-02	1.552e-05	3.761e-03
1	GO:0032555	1.142e-02	1.552e-05	3.761e-03
1	GO:0008380	1.182e-02	1.840e-05	4.368e-03
1	GO:0044464	1.215e-02	2.060e-05	4.794e-03
1	GO:0005623	1.224e-02	2.103e-05	4.797e-03
1	GO:0006412	1.294e-02	2.408e-05	5.387e-03
1	GO:0016773	1.308e-02	2.501e-05	5.490e-03
1	GO:0017076	1.445e-02	3.604e-05	7.763e-03
1	GO:0016301	1.516e-02	4.197e-05	8.878e-03
1	GO:0016071	1.568e-02	4.748e-05	9.864e-03
1	GO:0003723	1.586e-02	4.952e-05	1.011e-02
1	GO:0019538	1.648e-02	5.588e-05	1.108e-02
1	GO:0032559	1.650e-02	5.622e-05	1.108e-02
1	GO:0043412	1.692e-02	6.096e-05	1.167e-02
1	GO:0034645	1.695e-02	6.122e-05	1.167e-02
1	GO:0009059	1.856e-02	8.564e-05	1.598e-02
1	GO:0005524	1.869e-02	8.708e-05	1.598e-02
1	GO:0008159	1.876e-02	8.793e-05	1.598e-02
1	GO:0019320	1.924e-02	9.581e-05	1.715e-02
1	GO:0006397	1.940e-02	9.802e-05	1.728e-02
