p_value	term_id	source	term_name
1.25915146362623e-14	GO:0061844	GO:BP	antimicrobial humoral immune response mediated by antimicrobial peptide
3.24836716920525e-14	GO:0070098	GO:BP	chemokine-mediated signaling pathway
1.19063090195959e-13	GO:1990869	GO:BP	cellular response to chemokine
1.19063090195959e-13	GO:1990868	GO:BP	response to chemokine
2.99996690166631e-13	GO:0030593	GO:BP	neutrophil chemotaxis
3.3695106768565e-12	GO:0019730	GO:BP	antimicrobial humoral response
5.08405163163698e-12	GO:1990266	GO:BP	neutrophil migration
5.08405163163698e-12	GO:0071621	GO:BP	granulocyte chemotaxis
7.04168002781958e-11	GO:0097530	GO:BP	granulocyte migration
2.6539403926653e-09	GO:0071222	GO:BP	cellular response to lipopolysaccharide
4.50591743245785e-09	GO:0071219	GO:BP	cellular response to molecule of bacterial origin
1.28086167180994e-08	GO:0030595	GO:BP	leukocyte chemotaxis
1.42227134443263e-08	GO:0097529	GO:BP	myeloid leukocyte migration
1.93648679614942e-08	GO:0071216	GO:BP	cellular response to biotic stimulus
2.99401453934848e-08	GO:0060326	GO:BP	cell chemotaxis
5.18237841515354e-07	GO:0006959	GO:BP	humoral immune response
7.53291741862349e-07	GO:0032496	GO:BP	response to lipopolysaccharide
1.4834592201307e-06	GO:0002237	GO:BP	response to molecule of bacterial origin
6.1686521418527e-06	GO:0050900	GO:BP	leukocyte migration
6.87865397139279e-06	GO:0019221	GO:BP	cytokine-mediated signaling pathway
0.00011245740960623	GO:0071396	GO:BP	cellular response to lipid
0.000200730615192465	GO:0006935	GO:BP	chemotaxis
0.000208673927686996	GO:0042330	GO:BP	taxis
0.000277501604684755	GO:0045741	GO:BP	positive regulation of epidermal growth factor-activated receptor activity
0.000465223937382507	GO:0009617	GO:BP	response to bacterium
0.000573132427012799	GO:0033993	GO:BP	response to lipid
0.000875673047328921	GO:0071345	GO:BP	cellular response to cytokine stimulus
0.00333419881014414	GO:0034097	GO:BP	response to cytokine
0.00603125654689801	GO:0038134	GO:BP	ERBB2-EGFR signaling pathway
0.00680803849805289	GO:0098542	GO:BP	defense response to other organism
0.0101279140877739	GO:0007176	GO:BP	regulation of epidermal growth factor-activated receptor activity
0.0197315273915001	GO:0006954	GO:BP	inflammatory response
0.0215025081242368	GO:0016477	GO:BP	cell migration
0.0235566110210359	GO:0040011	GO:BP	locomotion
0.0239210900932502	GO:0045742	GO:BP	positive regulation of epidermal growth factor receptor signaling pathway
0.0296198865039151	GO:1901186	GO:BP	positive regulation of ERBB signaling pathway
0.0316643964865671	GO:0048870	GO:BP	cell motility
0.045733277718469	GO:1901701	GO:BP	cellular response to oxygen-containing compound
0.00164886659628718	GO:0030669	GO:CC	clathrin-coated endocytic vesicle membrane
0.00223087290520895	GO:0030662	GO:CC	coated vesicle membrane
0.00514580812584274	GO:0045334	GO:CC	clathrin-coated endocytic vesicle
0.0151272467055382	GO:0005615	GO:CC	extracellular space
0.0228749045384171	GO:0030666	GO:CC	endocytic vesicle membrane
0.0352034687750162	GO:0030665	GO:CC	clathrin-coated vesicle membrane
0.0456221000808151	GO:0030135	GO:CC	coated vesicle
0.0462656162453241	GO:0005576	GO:CC	extracellular region
1.12094266689952e-25	GO:0045236	GO:MF	CXCR chemokine receptor binding
3.75522777473102e-20	GO:0008009	GO:MF	chemokine activity
1.69462999662576e-17	GO:0042379	GO:MF	chemokine receptor binding
6.99406293797574e-13	GO:0005125	GO:MF	cytokine activity
3.38823542982636e-12	GO:0048018	GO:MF	receptor ligand activity
4.5680490205633e-12	GO:0030546	GO:MF	signaling receptor activator activity
1.64851781299173e-11	GO:0030545	GO:MF	signaling receptor regulator activity
